codigo,nombre,poblacion,provincia,canton,caudal,caudal humano,caudal agroganaderia,caudal industrial,caudal turismo,caudal otros,pozos,region de consumo,consumo promedio mensual en metros cubicos,consumo diario en litros
70301,Siquirres,31637,7,703,452.45,70.59,53.00,324.86,0,4,63,Región Huetar Atlántica,5.13,171
70303,Florida,2184,7,703,30.00,30.00,0,0,0,0,1,Región Huetar Atlántica,5.13,171
10401,Santiago,11512,1,104,4.91,3.11,1.80,0,0,0.00,6,Región Central,5.45,181.666666667
10402,Mercedes Sur,5866,1,104,1.10,0,1.10,0,0,0,2,Región Central,5.45,181.666666667
10403,Barbacoas,3692,1,104,2.80,2.25,0.50,0,0.05,0,5,Región Central,5.45,181.666666667
10404,Grifo Alto,1182,1,104,6.60,5.00,1.60,0,0,0,5,Región Central,5.45,181.666666667
10405,San Rafael,1730,1,104,1.26,1.26,0,0,0,0,1,Región Central,5.45,181.666666667
10406,Candelarita,1436,1,104,0.25,0,0.25,0,0,0,1,Región Central,5.45,181.666666667
10407,Desamparaditos,666,1,104,0.62,0.62,0,0,0,0,1,Región Central,5.45,181.666666667
10408,San Antonio,3889,1,104,2.50,0.50,2.00,0,0,0,3,Región Central,5.45,181.666666667
10409,Chires,3031,1,104,20.50,20.50,0,0,0,0,5,Región Central,5.45,181.666666667
21303,San José o Pizote,7352,2,213,5.00,5.00,0,0,0,0,4,Región Chorotega,5.62,187.333333333
21302,Aguas Claras,4939,2,213,2.00,2.00,0,0,0,0,1,Región Chorotega,5.62,187.333333333
21301,Upala,16139,2,213,22.81,15.41,2,4.90,0,0,14,Región Chorotega,5.62,187.333333333
21307,Yolillal,3308,2,213,74.00,0,70.00,4.00,0,0,5,Región Chorotega,5.62,187.333333333
21306,Dos Ríos,3194,,,,,,,,,,Región Chorotega,5.62,187.333333333
21305,Delicias,4483,2,213,0.00,0,0,0,0,0,1,Región Chorotega,5.62,187.333333333
21304,Bijagua,4538,2,213,0.75,0.75,0,0,0,0,1,Región Chorotega,5.62,187.333333333
