codigo,provincia,canton,caudal,caudal humano,caudal agroganaderia,caudal industrial,caudal turismo,caudal otros,pozos
20111,2,201,218.32,130.09,46.00,26.47,4.00,7.76,142
20110,2,201,315.95,139.54,11.50,157.71,6.20,1.00,75
20504,2,205,34.90,20.55,13.85,0.50,0,0,22
40101,4,401,101.45,92.00,0,0,0,9.45,5
40102,4,401,202.64,199.64,3,0,0,0,8
20505,2,205,76.04,40.04,22.50,7.00,6.50,0,62
40104,4,401,345.67,244.27,14.20,75.20,12.00,0.00,51
21013,2,210,109.92,80.95,13.64,15.33,0,0,29
21012,2,210,93.80,9.50,4.30,0,80.00,0,5
21011,2,210,163.52,104.87,9.00,39.05,0,7.60,42
21010,2,210,3.00,1.00,2.00,0,0,0,2
20308,2,203,9.81,3.31,6.50,0,0,0,9
20304,2,203,38.78,30.78,7.00,1.00,0,0,15
20305,2,203,14.58,1.50,7.23,5.85,0,0,10
20306,2,203,79.78,1.30,14.08,64.40,0,0,28
20307,2,203,273.94,72.23,76.65,116.06,2.00,7.00,60
20301,2,203,30.67,15.59,0,11.08,0,4.00,20
20302,2,203,94.55,8.31,5.00,78.84,0,2.40,24
20303,2,203,53.45,20.70,18.50,14.00,0,0.25,23
60203,6,602,167.73,134.69,23.52,7.52,0,2,46
60111,6,601,440.62,204.57,187.34,1.00,32.21,13.00,323
60110,6,601,13.00,6.00,7.00,0,0,0,14
60113,6,601,3.70,3.70,0,0,0,0,6
60112,6,601,77.76,55.70,10.36,9.40,2.30,0,34
60115,6,601,102.00,58.13,1,42.87,0,0,38
60114,6,601,35.73,6.00,0,22.73,0,7.00,18
20703,2,207,109.65,55.58,44.56,9.51,0,0,72
21001,2,210,32.58,26.08,6.50,0,0,0,9
20601,2,206,42.50,13.00,8.00,17.50,0,4.00,22
20603,2,206,9.55,0.50,9.05,0,0,0,5
20602,2,206,38.03,28.00,5.38,2.65,0,2.00,19
20605,2,206,4.00,0,2.00,2.00,0,0,2
